id;acronym;name;description;street_address;house_number;location_name;postal_code;geo_polygon_area;geo_polygon_area_content_type;district_id
1;forelimb plus disapp;clue smart before;intelligent bumper who;aha via;beside;until cylinder;supposing;../fake-data/blob/hipster.png;image/png;1
2;towards astride;before what;dark dial what;speedily terrific flatline;whether;considering while stencil;tap slouc;../fake-data/blob/hipster.png;image/png;2
3;ranch ack blah;selfishly atop wax;unaccountably bore erode;crossly cylindrical subordinate;through and recipien;concerning;tomorrow ;../fake-data/blob/hipster.png;image/png;3
4;inquisitively how pe;warm ick;finalize behind;power discussion;balloonist furthermo;even after ha;tragic wo;../fake-data/blob/hipster.png;image/png;4
5;yahoo;ouch;despise absent;chop phooey;beyond carelessly ha;scattering apud dismay;hence;../fake-data/blob/hipster.png;image/png;5
6;unto;into begonia cooked;by lazily platform;servitude angrily slump;propel only circa;digit skywalk painfully;sheepishl;../fake-data/blob/hipster.png;image/png;6
7;round;throughout outcome;though by;blah jovial;offensively polarize;borrower;er unfort;../fake-data/blob/hipster.png;image/png;7
8;physically pish joyf;out;wherever each than;substantial;gadzooks autoimmunit;eek forsaken while;powerfull;../fake-data/blob/hipster.png;image/png;8
9;sharp;wetly insecure;provided;late;of well-lit romance;supplement;console n;../fake-data/blob/hipster.png;image/png;9
10;mansard seldom;who;seabass pfft;ack;spiteful vivid;times region;yum truth;../fake-data/blob/hipster.png;image/png;10
