id;acronym;company_name;street_address;house_number;location_name;city;state_province;zip_postal_code;country_region;point_location;point_location_content_type;main_email;phone_number_1;phone_number_2;custom_attributes_details_json;activation_status;representative_person_id
1;excepting;acclimatise voluntarily;with sick;high inside unaccoun;loud abnormally regularly;Williamfort;trading;smuggling;induct bold manipulate;../fake-data/blob/hipster.png;image/png;"QH@5.O";fooey;gah uh-huh;affair but annually;ACTIVE;1
2;anenst overcharge;vice;carriage gosh;cobble;if;Fort Rhea;acknowledgment tomorrow refute;yahoo hug;reanimate;../fake-data/blob/hipster.png;image/png;"3O_@g4.8S:`HY";bee singe;plump massive;wry;BLOCKED;2
3;intimidate fixed;airdrop;elderly;ironclad absent;excavate masculine;Johnson City;asphalt;mansard boo rar;psst uh-huh;../fake-data/blob/hipster.png;image/png;"s`@Of\>Q.SdC>(q";unaccountably h;plastic;geez disapprove;BLOCKED;3
4;gadzooks after prowl;trusting nor;quietly tense piggyback;fare past township;far;Fort Linnea;of;colorfully unna;via totter;../fake-data/blob/hipster.png;image/png;"2@N{}d.n0^m?";fooey hmph;mash garrison e;deeply;INACTIVE;4
5;bran;carry;greatly monkey yieldingly;gasoline;disgusting humiliating meaningfully;Camarillo;who;fully;lopsided jovial;../fake-data/blob/hipster.png;image/png;"Tq}]@#7i.6";who;quick-witted in;mare;ON_HOLD;5
6;weekly gah;fortunate sequel;strictly aboard;off;within fooey complement;Winston-Salem;measure subject;modulo;hm;../fake-data/blob/hipster.png;image/png;"5pFtY@W.M:";upward;drat anchored d;gee austere oof;BLOCKED;6
7;huzzah youthfully chivalry;composed grub salt;toward parody;urgently;tenderly via;Lake Eudoratown;athwart stand underneath;windy;furthermore bah;../fake-data/blob/hipster.png;image/png;"B@K,k<Bx.{D~";need;yahoo shrilly;criminal;ON_HOLD;7
8;feisty roof;aspirate but starchy;division alfalfa;longingly ideal;plant until;Robertston;cope hefty whenever;before likewise;quick doubt boohoo;../fake-data/blob/hipster.png;image/png;"f&B@?IBI(J.E6U";silver;palm rearrange ;new justly for;PENDENT;8
9;times seriously;crinkle ballpark neatly;sad yahoo;dearly setting;hurtful quickly;South Cassandre;gah famously;teeming;dwell ultimately;../fake-data/blob/hipster.png;image/png;"igA@NY.j";anenst ha whoa;against;or poleax ack;PENDENT;9
10;myth;time;how;shipper verifiable;seriously whereas mmm;Rodburgh;since upside-down;briefly unto ps;barring;../fake-data/blob/hipster.png;image/png;"Bz[@D3-me.AhW\;}";solidly vengefu;zowie once;strictly yippee;INVALID;10
